web-scraper-order,web-scraper-start-url,category,category-href,item,item-href,name,price
"1696072515-1","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Вентиль нагнетания 2VC-5.2","https://multifrost.ru/zapchasti-bitzer/ventil-nagnetaniya-2vc-52","Вентиль нагнетания 2VC-5.2",""
"1696072518-2","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипник 4H-15.2","https://multifrost.ru/zapchasti-bitzer/podshipnik-4h-152","Подшипник 4H-15.2",""
"1696072521-3","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Вентиль нагнетания 4FC-5.2H","https://multifrost.ru/zapchasti-bitzer/ventil-nagnetaniya-4fc-52h","Вентиль нагнетания 4FC-5.2H",""
"1696072524-4","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Вентиль нагнетания 3FC-3.2","https://multifrost.ru/zapchasti-bitzer/ventil-nagnetaniya-3fc-32","Вентиль нагнетания 3FC-3.2",""
"1696072527-5","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Вентиль нагнетания 4EC-4.2","https://multifrost.ru/zapchasti-bitzer/ventil-nagnetaniya-4ec-42","Вентиль нагнетания 4EC-4.2",""
"1696072530-6","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипники 2VC-5.2","https://multifrost.ru/zapchasti-bitzer/podshipniki-2vc-52","Подшипники 2VC-5.2",""
"1696072534-7","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипник 4FC-5.2H","https://multifrost.ru/zapchasti-bitzer/podshipnik-4fc-52h","Подшипник 4FC-5.2H",""
"1696072538-8","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипник 3FC-3.2","https://multifrost.ru/zapchasti-bitzer/podshipnik-3fc-32","Подшипник 3FC-3.2",""
"1696072545-9","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипник 4EC-4.2","https://multifrost.ru/zapchasti-bitzer/podshipnik-4ec-42","Подшипник 4EC-4.2",""
"1696072548-10","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Подшипник 4FC-3.2","https://multifrost.ru/zapchasti-bitzer/podshipnik-4fc-32","Подшипник 4FC-3.2",""
"1696072552-11","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Кольцо коленвала 4H-15.2","https://multifrost.ru/zapchasti-bitzer/kolco-kolenvala-4h-152","Кольцо коленвала 4H-15.2",""
"1696072556-12","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Кольцо коленвала 4FC-5.2H","https://multifrost.ru/zapchasti-bitzer/kolco-kolenvala-4fc-52h","Кольцо коленвала 4FC-5.2H",""
"1696072559-13","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Кольцо коленвала 3FC-3.2","https://multifrost.ru/zapchasti-bitzer/kolco-kolenvala-3fc-32","Кольцо коленвала 3FC-3.2",""
"1696072562-14","https://multifrost.ru/promyshlennoe-holodilnoe-oborudovanie","Bitzer","https://multifrost.ru/bitzer","Кольцо коленвала 4EC-4.2","https://multifrost.ru/zapchasti-bitzer/kolco-kolenvala-4ec-42","Кольцо коленвала 4EC-4.2",""
